報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AW/14/557/G0674,110,4550480734606,Nail File -Set of 2-,7013.99.90.00-4,,
AW/14/557/G0674,111,4550480753072,Logo Lunch Bag -GY-,4202.92.90.92-7,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,112,4550480753089,Logo Lunch Bag -PK-,4202.92.90.92-7,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,113,4550480771083,Drawstring Bag -2 Pieces Set-PGR-,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,114,4550480771090,Drawstring Bag -2 Pieces Set-PK-,6307.90.90.90-1,C1999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,115,4550480771106,Expandable Packing Organizer -PGR-,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,116,4550480711263,Outer Seam Slippers -Flower BLUS 4 -6 EU 35-38-,6404.19.00.60-6,,
AW/14/557/G0674,117,4550480628639,Flap Shoulder Bag BK-,4202.92.90.92-7,C1999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,118,4550480629667,Travel Storage Pouch -WH-,4202.92.90.92-7,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,119,4550480632131,Notebook Diary -6 Rings BE-,4820.10.00.10-6,,
AW/14/557/G0674,120,4550480589688,Stainless Steel Bottle 10.14fl oz - 300mL LBL-,7323.93.00.00-4,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,121,4550480589695,Stainless Steel Bottle 10.14fl oz 300mL - IV-,7323.93.00.00-4,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,122,4550480506838,Scratching Board -Bed Style-,4823.90.00.90-9,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,123,4550480517230,Refrigerator Storage Tray Clear 1.04ft x 5.51in x 5.19in 32cm x 14cm x 13.2cm-,3924.10.00.90-6,DH999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,124,4549131870466,Mysterious Sand Play Set for Home,9503.00.91.90-5,20204048981006-01,玩具 (Toys) - 需 BSMI 檢驗
AW/14/557/G0674,125,4550480424408,Aroma Diffuser 150mL 5.07f1 oz - Bergamot,3307.49.00.00-7,,
AW/14/557/G0674,126,4550480449548,Earrings Set - 37 SI-,7117.19.00.00-5,,
AW/14/557/G0674,127,4550480449555,Earrings Set - 37- GD-,7117.19.00.00-5,,
AW/14/557/G0674,128,4550480449562,Earrings Set 36 SI-,7117.19.00.00-5,,
AW/14/557/G0674,129,4550480449579,Earrings Set - 36 GD-,7117.19.00.00-5,,
AW/14/557/G0674,130,4550480449623,Earrings Set - 35 SI-,7117.19.00.00-5,,
AW/14/557/G0674,131,4550480449630,Earrings Set - 35 - GD-,7117.19.00.00-5,,
AW/14/557/G0674,132,4550480449890,Earrings Set - 34 SI-,7117.19.00.00-5,,
AW/14/557/G0674,133,4550480449906,Earrings Set 34- GD-,7117.19.00.00-5,,
AW/14/557/G0674,134,4550480449913,Earrings Set - 33- GD-,7117.19.00.00-5,,
AW/14/557/G0674,135,4550480449999,Earrings Set - 32- GD-,7117.19.00.00-5,,
AW/14/557/G0674,136,4550480450308,Earrings Set - 33SI-,7117.19.00.00-5,,
AW/14/557/G0674,137,4550480450315,Earrings Set 31 GD-,7117.19.00.00-5,,
AW/14/557/G0674,138,4550480450322,Earrings Set - 32 SI-,7117.19.00.00-5,,
AW/14/557/G0674,139,4550480450339,Earrings Set - 31 SI-,7117.19.00.00-5,,
AW/14/557/G0674,140,4550480450346,Earrings Set - 30-GD-,7117.19.00.00-5,,
AW/14/557/G0674,141,4550480450353,Earrings Set - 30- PG-,7117.19.00.00-5,,
AW/14/557/G0674,142,4550480450360,Earrings Set 29 SI-,7117.19.00.00-5,,
AW/14/557/G0674,143,4550480450377,Earrings Set - 29-GD-,7117.19.00.00-5,,
AW/14/557/G0674,144,4550480450384,Earrings Set - 28-SI-,7117.19.00.00-5,,
AW/14/557/G0674,145,4550480450391,Earrings Set - 28- GD-,7117.19.00.00-5,,
AW/14/557/G0674,146,4550480450407,Earrings Set - 27- GD-,7117.19.00.00-5,,
AW/14/557/G0674,147,4550480450414,Earrings Set 27-SI-,7117.19.00.00-5,,
AW/14/557/G0674,148,4550480450421,Earrings Set - 26- GD-,7117.19.00.00-5,,
AW/14/557/G0674,149,4550480450438,Earrings Set - 26 SI-,7117.19.00.00-5,,
AW/14/557/G0674,150,4550480450445,Earrings Set - 25 SI-,7117.19.00.00-5,,
AW/14/557/G0674,151,4550480450452,Earrings Set 25-GD-,7117.19.00.00-5,,
AW/14/557/G0674,152,4550480450469,Earrings Set - 24-GD-,7117.19.00.00-5,,
AW/14/557/G0674,153,4550480450476,Earrings Set - 24 SI-,7117.19.00.00-5,,
AW/14/557/G0674,154,4550480450483,Earrings Set - 23 SI-,7117.19.00.00-5,,
AW/14/557/G0674,155,4550480450490,Earrings Set - 23 - GD-,7117.19.00.00-5,,
AW/14/557/G0674,156,4550480450506,Earrings Set 22- GD-,7117.19.00.00-5,,
AW/14/557/G0674,157,4550480450513,Earrings Set - 22-SI-,7117.19.00.00-5,,
AW/14/557/G0674,158,4550480450520,Earrings Set - 21-GD-,7117.19.00.00-5,,
AW/14/557/G0674,159,4550480450537,Earrings Set - 21SI-,7117.19.00.00-5,,
